id,transfermarktURL,fbrefURL,fbrefURLb
1844-45,1844,1844-1845,1844
1843-44,1843,1843-1844,1843
1842-43,1842,1842-1843,1842
1841-42,1841,1841-1842,1841
1840-41,1840,1840-1841,1840
1839-40,1839,1839-1840,1839
1838-39,1838,1838-1839,1838
1837-38,1837,1837-1838,1837
1836-37,1836,1836-1837,1836
1835-36,1835,1835-1836,1835
1834-35,1834,1834-1835,1834
1833-34,1833,1833-1834,1833
1832-33,1832,1832-1833,1832
1831-32,1831,1831-1832,1831
1830-31,1830,1830-1831,1830
1829-30,1829,1829-1830,1829
1828-29,1828,1828-1829,1828
1827-28,1827,1827-1828,1827
1826-27,1826,1826-1827,1826
1825-26,1825,1825-1826,1825
1824-25,1824,1824-1825,1824
1823-24,1823,1823-1824,1823
1822-23,1822,1822-1823,1822
1821-22,1821,1821-1822,1821
1820-21,1820,1820-1821,1820
1819-20,1819,1819-1820,1819
1818-19,1818,1818-1819,1818
1817-18,1817,1817-1818,1817
1816-17,1816,1816-1817,1816
1815-16,1815,1815-1816,1815
1814-15,1814,1814-1815,1814
1813-14,1813,1813-1814,1813
1812-13,1812,1812-1813,1812
1811-12,1811,1811-1812,1811
1810-11,1810,1810-1811,1810
1809-10,1809,1809-1810,1809
1808-09,1808,1808-1809,1808
1807-08,1807,1807-1808,1807
1806-07,1806,1806-1807,1806
1805-06,1805,1805-1806,1805
1804-05,1804,1804-1805,1804
1803-04,1803,1803-1804,1803
1802-03,1802,1802-1803,1802
1801-02,1801,1801-1802,1801
1800-01,1800,1800-1801,1800
,,,
